V,A,D,text
0.05882352941176494,-0.0769230769230771,0.17355371900826455,"Remember what she said in my last letter? """
-0.0588235294117645,0.0,-0.1570247933884299,If I wasn't working here.
0.05882352941176494,-0.0769230769230771,0.00826446280991755,".."""
0.3176470588235296,-0.0769230769230771,0.1900826446280992,Goodwill helps people get off of public assistance.
0.382352941176471,0.13076923076923075,0.38842975206611596,Sherry learned through our Future Works class that she could rise out of the mire of the welfare system and support her family.
0.41176470588235325,0.15384615384615374,0.6694214876033056,Coming to Goodwill was the first step toward my becoming totally independent.
0.05882352941176494,-0.0769230769230771,0.09090909090909127,"I am now... totally off of welfare."""
0.11764705882352966,0.0,0.09090909090909127,Goodwill prepares people for life-long employment.
0.20588235294117663,-0.16923076923076952,0.00826446280991755,"Here's another story of success from what might seem like an unlikely source: Goodwill's controller, Juli."
0.20588235294117663,-0.0769230769230771,0.2148760330578514,Cornell found a number of employment options that he never dreamed existed after a work-site injury forced him out of his job at a foundry.
0.20588235294117663,-0.16923076923076952,0.10743801652892593,"He trained in desktop publishing and combined his enthusiastic work ethic with new-found skills in a burgeoning industry. """
0.05882352941176494,-0.36923076923076925,0.00826446280991755,"Dear ,"
0.21764705882352975,0.19999999999999973,0.30578512396694224,"I've got more than a job; I've got a career."""
0.3941176470588239,0.14615384615384608,0.24793388429752072,"After a lifetime of trials, Donna not only earned her GED at Goodwill, she earned a job here. """
-0.011764705882352677,-0.0769230769230771,0.2148760330578514,I rode a bike to Goodwill in the rain and snow.
-0.11764705882352922,0.15384615384615374,-0.07438016528925617,I wanted to be there.
0.35294117647058876,0.3076923076923075,0.6280991735537191,"..I had my second chance to change my life."""
0.4294117647058826,0.11538461538461542,0.3140495867768598,Your gift to Goodwill will help the many people who want to tell their own stories of success.
0.4705882352941182,0.2307692307692304,0.25619834710743783,Your support will help them go to work.
0.35294117647058876,0.2307692307692304,0.17355371900826455,Please use the enclosed envelope to give a generous gift to Goodwill today!
0.14117647058823568,-0.18461538461538485,0.12396694214876058,"Sincerely,"
0.11764705882352966,-0.46153846153846145,0.17355371900826455,"William A Carter, Chairman Goodwill Industries Foundation"
0.05882352941176494,-0.5153846153846153,0.00826446280991755,P.S.
0.35294117647058876,-0.17692307692307674,0.2148760330578514,Your gift is a wise investment in the community.
0.5764705882352943,0.20769230769230784,0.3223140495867769,"For every dollar donated to Goodwill in 1998, we helped our ""graduates"" earn an estimated $102."
0.20588235294117663,0.01538461538461533,0.2148760330578514,"That money was then spent in a variety of ways, adding fuel to our thriving economy."
